%TIME	M_POS	M_VEL	M_VOLT	S_POS	S_VEL	S_VOLT	VOLT_REF
0	0	0	0	0	0	0	0.755448
0.001	0	0	0	0	0	0	0.755448
0.002	0	0	0	0	0	0	0.755448
0.003	0	0	0	0	0	0	0.755448
0.004	0	0	0	0	0	0	0.755448
0.005	0	0	0	0	0	0	0.755448
0.006	0	0	0	0	0	0	0.755448
0.007	0	0	0	0	0	0	0.755448
0.008	0	0	0	0	0	0	0.755448
0.009	0	0	0	0	0	0	0.755448
0.01	0	0	0	0	0	0	0.755448
0.011	0	0	0	0	0	0	0.755448
0.012	0	0	0	0	0	0	0.755448
0.013	0	0	0	0	0	0	0.755448
0.014	0	0	0	0	0	0	0.755448
0.015	0	0	0	0	0	0	0.755448
0.016	0	0	0	0	0	0	0.755448
0.017	0	0	0	0	0	0	0.755448
0.018	0	0	0	0	0	0	0.755448
0.019	0	0	0	0	0	0	0.755448
0.02	0	0	0	0	0	0	0.755448
0.021	0	0	0	0	0	0	0.755448
0.022	0	0	0	0	0	0	0.755448
0.023	0	0	0	0	0	0	0.755448
0.024	0	0	0	0	0	0	0.755448
0.025	0	0	0	0	0	0	0.755448
0.026	0	0	0	0	0	0	0.755448
0.027	0	0	0	0	0	0	0.755448
0.028	0	0	0	0	0	0	0.755448
0.029	0	0	0	0	0	0	0.755448
0.03	0	0	0	0	0	0	0.755448
0.031	0	0	0	0	0	0	0.755448
0.032	0	0	0	0	0	0	0.755448
0.033	0	0	0	0	0	0	0.755448
0.034	0	0	0	0	0	0	0.755448
0.035	0	0	0	0	0	0	0.755448
0.036	0	0	0	0	0	0	0.755448
0.037	0	0	0	0	0	0	0.755448
0.038	0	0	0	0	0	0	0.755448
0.039	0	0	0	0	0	0	0.755448
0.04	0	0	0	0	0	0	0.755448
0.041	0	0	0	0	0	0	0.755448
0.042	0	0	0	0	0	0	0.755448
0.043	0	0	0	0	0	0	0.755448
0.044	0	0	0	0	0	0	0.755448
0.045	0	0	0	0	0	0	0.755448
0.046	0	0	0	0	0	0	0.755448
0.047	0	0	0	0	0	0	0.755448
0.048	0	0	0	0	0	0	0.755448
0.049	0	0	0	0	0	0	0.755448
0.05	0	0	0	0	0	0	0.755448
0.051	0	0	0	0	0	0	0.755448
0.052	0	0	0	0	0	0	0.755448
0.053	0	0	0	0	0	0	0.755448
0.054	0	0	0	0	0	0	0.755448
0.055	0	0	0	0	0	0	0.755448
0.056	0	0	0	0	0	0	0.755448
0.057	0	0	0	0	0	0	0.755448
0.058	0	0	0	0	0	0	0.755448
0.059	0	0	0	0	0	0	0.755448
0.06	0	0	0	0	0	0	0.755448
0.061	0	0	0	0	0	0	0.755448
0.062	0	0	0	0	0	0	0.755448
0.063	0	0	0	0	0	0	0.755448
0.064	0	0	0	0	0	0	0.755448
0.065	0	0	0	0	0	0	0.755448
0.066	0	0	0	0	0	0	0.755448
0.067	0	0	0	0	0	0	0.755448
0.068	0	0	0	0	0	0	0.755448
0.069	0	0	0	0	0	0	0.755448
0.07	0	0	0	0	0	0	0.755448
0.071	0	0	0	0	0	0	0.755448
0.072	0	0	0	0	0	0	0.755448
0.073	0	0	0	0	0	0	0.755448
0.074	0	0	0	0	0	0	0.755448
0.075	0	0	0	0	0	0	0.755448
0.076	0	0	0	0	0	0	0.755448
0.077	0	0	0	0	0	0	0.755448
0.078	0	0	0	0	0	0	0.755448
0.079	0	0	0	0	0	0	0.755448
0.08	0	0	0	0	0	0	0.755448
0.081	0	0	0	0	0	0	0.755448
0.082	0	0	0	0	0	0	0.755448
0.083	0	0	0	0	0	0	0.755448
0.084	0	0	0	0	0	0	0.755448
0.085	0	0	0	0	0	0	0.755448
0.086	0	0	0	0	0	0	0.755448
0.087	0	0	0	0	0	0	0.755448
0.088	0	0	0	0	0	0	0.755448
0.089	0	0	0	0	0	0	0.755448
0.09	0	0	0	0	0	0	0.755448
0.091	0	0	0	0	0	0	0.755448
0.092	0	0	0	0	0	0	0.755448
0.093	0	0	0	0	0	0	0.755448
